"ID товара";Артикул;Категория;"URL категории";Товар;Вариант;"Краткое описание";Описание;Цена;"Старая цена";"URL товара";Изображение;Количество;Активность;"Заголовок [SEO]";"Ключевые слова [SEO]";"Описание [SEO]";Рекомендуемый;Новый;Сортировка;Вес;"Связанные артикулы";"Смежные категории";"Ссылка на товар";Валюта;"Единицы измерения";"Длина   ";"Ширина   ";"Толщина   ";"Основная камера   ";"Частота кадров   ";"Разрешение видео   ";"Фронтальная камера   ";"Разрешение экрана   ";"Диагональ   ";"Тип экрана   ";"Оперативная память   ";"Количество ядер   ";"Емкость аккумулятора   ";"Процессор   ";"Поддержка MicroSD   ";"Количество SIM-карт   ";"Версия ОС   ";"Вес   ";"Максимальный объём памяти ";"Размеры ";"Вес [prop attr=42] ";"Тип батареи ";"Точность хода ";"Водонепроницаемость ";"Объём памяти [size]";"Цвет[prop attr=Смартфоны] [color]";"Цвет [color]";"Размер[prop attr=Детская обувь] [size]";"Размер обуви [size]";"Размер [size]";"Размер[prop attr=Леггинсы] [size]";"Окончание акции (дд.мм.гггг) ";"Год изготовления[prop attr=Шины] [prop attr=51] ";"Сложные характеристики"
81;;"Шины по диаметру/R17";shiny-po-diametru/r17;"Accelera PHI 245/45 ZR17 99W XL";;;;"1 504";;accelera-phi-245-45-zr17-99w-xl;accelera-phi-245-45-zr17-99w-xl.jpg;6;1;;;;0;0;0;15,6;;;;UAH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;;"Шины по диаметру/R20";shiny-po-diametru/r20;"Accelera PHI 235/35 ZR20 92Y XL";;;;"2 338";;accelera-phi-235-35-zr20-92y-xl;accelera-phi-235-35-zr20-92y-xl.jpg;4;1;;;;0;0;0;15,6;;;;UAH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;;"Шины по диаметру/R18";shiny-po-diametru/r18;"Accelera PHI 245/40 ZR18 97Y XL";;;;"1 754";;accelera-phi-245-40-zr18-97y-xl;accelera-phi-245-40-zr18-97y-xl.jpg;6;1;;;;0;0;0;15,6;;;;UAH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;;"Шины по диаметру/R18";shiny-po-diametru/r18;"Accelera PHI 255/40 ZR18 99Y XL";;;;"1 911";;accelera-phi-255-40-zr18-99y-xl;accelera-phi-255-40-zr18-99y-xl.jpg;2;1;;;;0;0;0;15,6;;;;UAH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;;"Шины по диаметру/R19";shiny-po-diametru/r19;"Accelera PHI 255/35 ZR19 96Y XL";;;;"2 342";;accelera-phi-255-35-zr19-96y-xl;accelera-phi-255-35-zr19-96y-xl.jpg;2;1;;;;0;0;0;15,6;;;;UAH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;;"Шины по диаметру/R18";shiny-po-diametru/r18;"Accelera PHI 225/40 ZR18 92Y XL";;;;"1 590";;accelera-phi-225-40-zr18-92y-xl;accelera-phi-225-40-zr18-92y-xl.jpg;2;1;;;;0;0;0;15,6;;;;UAH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;;"Шины по диаметру/R20";shiny-po-diametru/r20;"Accelera PHI 245/40 R20 99Y XL";;;;"2 338";;accelera-phi-245-40-r20-99y-xl;no-img.jpg;4;1;;;;0;0;0;15,6;;;;UAH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Шипы[prop attr=Шины]=[type=assortmentCheckBox value=Нет##1## product_margin=Нет## activity=1 filter=1 description=]&Страна производства  [prop attr=Шины]=[type=assortmentCheckBox value=XL##1## product_margin=XL## activity=1 filter=1 description=]&Производитель   [prop attr=Шины] [prop attr=24]=[type=assortmentCheckBox value=Accelera##1## product_margin=Accelera## activity=1 filter=1 description=]&Высота [prop attr=Шины] [prop attr=25]=[type=assortmentCheckBox value=летняя##1## product_margin=летняя## activity=1 filter=1 description=]&Сезон  [prop attr=Шины] [prop attr=27]=[type=assortmentCheckBox value=Летние шины##1## product_margin=Летние шины## activity=1 filter=1 description=]&Индекс нагрузки[prop attr=Шины] [prop attr=31]=[type=assortmentCheckBox value={(int)99}##1## product_margin={(int)99}## activity=1 filter=1 description=]&Индекс скорости[prop attr=Шины] [prop attr=32]=[type=assortmentCheckBox value=Y##1## product_margin=Y## activity=1 filter=1 description=]&Диаметр [prop attr=Шины] [prop attr=58]=[type=assortmentCheckBox value=40##1## product_margin=40## activity=1 filter=1 description=]"
88;;"Шины по диаметру/R20";shiny-po-diametru/r20;"Accelera PHI 2 275/30 ZR20 97Y XL";;;;"2 923";;accelera-phi-2-275-30-zr20-97y-xl;no-img.jpg;2;1;;;;0;0;0;15,6;;;;UAH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Производитель   [prop attr=Шины] [prop attr=24]=[type=assortmentCheckBox value=Accelera##1## product_margin=Accelera## activity=1 filter=1 description=]&Индекс скорости[prop attr=Шины] [prop attr=32]=[type=assortmentCheckBox value=Y##1## product_margin=Y## activity=1 filter=1 description=]&Диаметр [prop attr=Шины] [prop attr=58]=[type=assortmentCheckBox value=30##1## product_margin=30## activity=1 filter=1 description=]&Шипы[prop attr=Шины]=[type=assortmentCheckBox value=Нет##1## product_margin=Нет## activity=1 filter=1 description=]&Страна производства  [prop attr=Шины]=[type=assortmentCheckBox value=XL##1## product_margin=XL## activity=1 filter=1 description=]&Высота [prop attr=Шины] [prop attr=25]=[type=assortmentCheckBox value=летняя##1## product_margin=летняя## activity=1 filter=1 description=]&Сезон  [prop attr=Шины] [prop attr=27]=[type=assortmentCheckBox value=Летние шины##1## product_margin=Летние шины## activity=1 filter=1 description=]&Индекс нагрузки[prop attr=Шины] [prop attr=31]=[type=assortmentCheckBox value={(int)97}##1## product_margin={(int)97}## activity=1 filter=1 description=]"
89;;"Шины по диаметру/R18";shiny-po-diametru/r18;"Accelera PHI R 245/40 R18 97Y XL";;;;"1 754";;accelera-phi-r-245-40-r18-97y-xl;no-img.jpg;2;1;;;;0;0;0;15,6;;;;UAH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Индекс скорости[prop attr=Шины] [prop attr=32]=[type=assortmentCheckBox value=Y##1## product_margin=Y## activity=1 filter=1 description=]&Диаметр [prop attr=Шины] [prop attr=58]=[type=assortmentCheckBox value=40##1## product_margin=40## activity=1 filter=1 description=]&Шипы[prop attr=Шины]=[type=assortmentCheckBox value=Нет##1## product_margin=Нет## activity=1 filter=1 description=]&Страна производства  [prop attr=Шины]=[type=assortmentCheckBox value=XL##1## product_margin=XL## activity=1 filter=1 description=]&Производитель   [prop attr=Шины] [prop attr=24]=[type=assortmentCheckBox value=Accelera##1## product_margin=Accelera## activity=1 filter=1 description=]&Высота [prop attr=Шины] [prop attr=25]=[type=assortmentCheckBox value=летняя##1## product_margin=летняя## activity=1 filter=1 description=]&Сезон  [prop attr=Шины] [prop attr=27]=[type=assortmentCheckBox value=Летние шины##1## product_margin=Летние шины## activity=1 filter=1 description=]&Индекс нагрузки[prop attr=Шины] [prop attr=31]=[type=assortmentCheckBox value={(int)97}##1## product_margin={(int)97}## activity=1 filter=1 description=]"
90;;"Шины по диаметру/R18";shiny-po-diametru/r18;"Accelera PHI R 245/45 R18 100Y XL";;;;"1 752";;accelera-phi-r-245-45-r18-100y-xl;no-img.jpg;2;1;;;;0;0;0;15,6;;;;UAH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Сезон  [prop attr=Шины] [prop attr=27]=[type=assortmentCheckBox value=Летние шины##1## product_margin=Летние шины## activity=1 filter=1 description=]&Индекс нагрузки[prop attr=Шины] [prop attr=31]=[type=assortmentCheckBox value={(int)100}##1## product_margin={(int)100}## activity=1 filter=1 description=]&Страна производства  [prop attr=Шины]=[type=assortmentCheckBox value=XL##1## product_margin=XL## activity=1 filter=1 description=]&Производитель   [prop attr=Шины] [prop attr=24]=[type=assortmentCheckBox value=Accelera##1## product_margin=Accelera## activity=1 filter=1 description=]&Высота [prop attr=Шины] [prop attr=25]=[type=assortmentCheckBox value=летняя##1## product_margin=летняя## activity=1 filter=1 description=]&Индекс скорости[prop attr=Шины] [prop attr=32]=[type=assortmentCheckBox value=Y##1## product_margin=Y## activity=1 filter=1 description=]&Диаметр [prop attr=Шины] [prop attr=58]=[type=assortmentCheckBox value=45##1## product_margin=45## activity=1 filter=1 description=]&Шипы[prop attr=Шины]=[type=assortmentCheckBox value=Нет##1## product_margin=Нет## activity=1 filter=1 description=]"
