ID товара;Артикул;Категория;URL категории;Товар;Вариант;Краткое описание;Описание;Цена;Старая цена;URL товара;Изображение;Количество;Активность;Заголовок [SEO];Ключевые слова [SEO];Описание [SEO];Рекомендуемый;Новый;Сортировка;Вес;Связанные артикулы;Смежные категории;Ссылка на товар;Валюта;Единицы измерения;Длина   ;Ширина   ;Толщина   ;Основная камера   ;Частота кадров   ;Разрешение видео   ;Фронтальная камера   ;Разрешение экрана   ;Диагональ   ;Тип экрана   ;Оперативная память   ;Количество ядер   ;Емкость аккумулятора   ;Процессор   ;Поддержка MicroSD   ;Количество SIM-карт   ;Версия ОС   ;Вес   ;Максимальный объём памяти ;Размеры ;Вес [prop attr=42] ;Тип батареи ;Точность хода ;Водонепроницаемость ;Объём памяти [size];Цвет[prop attr=Смартфоны] [color];Цвет [color];Размер[prop attr=Детская обувь] [size];Размер обуви [size];Размер [size];Размер[prop attr=Леггинсы] [size];Окончание акции (дд.мм.гггг) ;Год изготовления[prop attr=Шины] [prop attr=51] ;Сложные характеристики
;;Шины по диаметру/R16;shiny-po-diametru/r16;Polaris 3 225/70/R16 103T;;;;2500;;;;1;1;;;;;;153;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015;
;;Шины по диаметру/R16;shiny-po-diametru/r16;Nordicca 4x4 MP91 225/70/R16  103T;;;;1800;;;;1;1;;;;;;154;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2011;
;;Шины по диаметру/R16;shiny-po-diametru/r16;Winter Slalom KSI 225/70/R16 103S;;;;2500;;;;1;1;;;;;;155;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2012;
;;Шины по диаметру/R16;shiny-po-diametru/r16; Extreme UltraGrip (шип) 225/55/R16 95T;;;;2000;;;;1;1;;;;;;156;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;
;;Шины по диаметру/R16;shiny-po-diametru/r16;Quatrac 3 225/55/R16 95V;;;;1800;;;;1;1;;;;;;157;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2014;
;;Шины по диаметру/R16;shiny-po-diametru/r16;Turanza ER300 225/55/R16 99Y;;;;1800;;;;1;1;;;;;;158;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2007;
;;Шины по диаметру/R16;shiny-po-diametru/r16;SP Sport 01 225/55/R16 95Y;;;;2800;;;;1;1;;;;;;159;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2017;
;;Шины по диаметру/R16;shiny-po-diametru/r16;Sport MAXX RT  225/55/R16 95Y;;;;2500;;;;1;1;;;;;;160;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2016;
;;Шины по диаметру/R16;shiny-po-diametru/r16;SP Winter Sport 4D 225/55/R16 95H;;;;2100;;;;1;1;;;;;;161;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2012;
;;Шины по диаметру/R16;shiny-po-diametru/r16;Winter Snowsport 210 225/55/R16 99H;;;;2000;;;;1;1;;;;;;162;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2005;
;;Шины по диаметру/R16;shiny-po-diametru/r16;Pilot Alpin 225/55/R16 99H;;;;1700;;;;1;1;;;;;;163;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2006;
;;Шины по диаметру/R16;shiny-po-diametru/r16;Primacy HP 225/55/R16 99W;;;;3000;;;;1;1;;;;;;164;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015;
;;Шины по диаметру/R16;shiny-po-diametru/r16;Bravuris 225/55/R16 95W;;;;1600;;;;1;1;;;;;;165;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2004;
;;Шины по диаметру/R16;shiny-po-diametru/r16;Kristall Supremo 225/55/R16 95H;;;;1500;;;;1;1;;;;;;166;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2005;
;;Шины по диаметру/R16;shiny-po-diametru/r16;Hakkapeliitta R 225/55/R16 99R HL;;;;2000;;;;1;1;;;;;;167;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2008;
